|Epoch	%CosDiff	%AvgCosDiff	%SSE	%Avg SSE	%Count Err	%Pct Err	%Pct Cor	%Hid1 ActAvg	%Hid2 ActAvg	%Out ActAvg
0	0.003084913	-0.0039710766	136.55975	0.13335913	10	1	0	0.10489525	0.09145395	0.15415531
1	0.17147274	0.012925567	125.460266	0.12251979	10	1	0	0.10184298	0.08766678	0.15449566
2	0.3546249	0.045849543	106.53838	0.10404139	10	1	0	0.09925988	0.08393418	0.15480343
3	0.45071307	0.08462386	100.99684	0.09862973	10	1	0	0.096385516	0.08145753	0.15508181
4	0.62691045	0.13647886	72.3521	0.070656344	10	1	0	0.09393265	0.07947441	0.15533353
